,Start Time,End Time,Distance (mi),Duration (min),Fuel Cost (USD),Average MPG,Fuel Volume (gal),Hard Accelerations,Hard Brakes,Duration Over 70 mph (secs),Duration Over 75 mph (secs),Duration Over 80 mph (secs),Tags
151,2015-05-21 16:50:00,2015-05-21 16:51:00,0.09,1.33,0.02,11.76,0.0,0,0,0,0,0,Other
152,2015-05-21 16:35:00,2015-05-21 16:47:00,4.47,12.0,0.44,28.23,0.16,0,0,0,0,0,Other
153,2015-05-21 14:39:00,2015-05-21 14:46:00,3.01,7.46,0.27,31.28,0.11,0,0,0,0,0,Other
154,2015-05-21 13:22:00,2015-05-21 13:36:00,3.42,13.82,0.37,26.11,0.13,0,0,0,0,0,Other
155,2015-05-21 10:38:00,2015-05-21 10:48:00,3.38,10.77,0.32,30.11,0.11,0,0,0,0,0,Other
156,2015-05-20 20:42:00,2015-05-20 21:07:00,15.63,24.89,1.08,40.46,0.4,1,0,0,0,0,commute
157,2015-05-20 09:37:00,2015-05-20 10:01:00,15.49,23.47,1.12,38.34,0.4,2,0,14,0,0,commute
158,2015-05-19 22:02:00,2015-05-19 22:23:00,15.61,21.54,1.11,39.28,0.4,1,0,0,0,0,commute
159,2015-05-19 10:53:00,2015-05-19 11:18:00,15.52,24.56,1.1,39.28,0.4,0,0,19,0,0,commute
160,2015-05-18 21:57:00,2015-05-18 22:20:00,15.62,22.87,1.09,39.52,0.4,0,0,0,0,0,commute
161,2015-05-18 10:56:00,2015-05-18 11:19:00,15.5,23.43,1.08,39.75,0.4,0,0,11,0,0,commute
162,2015-05-17 21:54:00,2015-05-17 22:17:00,15.63,23.03,1.11,39.05,0.4,2,0,6,0,0,commute
163,2015-05-17 10:55:00,2015-05-17 11:18:00,15.51,22.62,1.09,39.28,0.4,0,0,5,0,0,commute
164,2015-05-17 01:47:00,2015-05-17 02:02:00,8.68,15.02,0.65,37.87,0.24,0,1,0,0,0,Other
165,2015-05-16 23:24:00,2015-05-16 23:34:00,3.07,9.49,0.28,30.58,0.11,0,0,0,0,0,Other
166,2015-05-16 21:07:00,2015-05-16 21:25:00,4.81,17.28,0.5,26.81,0.18,1,0,0,0,0,Other
167,2015-05-16 19:34:00,2015-05-16 19:43:00,3.82,9.21,0.35,30.81,0.13,1,0,0,0,0,Other
168,2015-05-16 17:43:00,2015-05-16 17:57:00,8.67,14.27,0.6,40.93,0.21,1,0,0,0,0,Other
169,2015-05-16 01:20:00,2015-05-16 01:44:00,17.31,23.66,1.24,38.81,0.45,1,0,0,0,0,Other
170,2015-05-15 21:48:00,2015-05-15 22:16:00,17.47,27.64,1.34,36.22,0.48,0,0,0,0,0,Other
171,2015-05-15 16:34:00,2015-05-15 16:42:00,3.0,8.07,0.29,28.7,0.11,0,0,0,0,0,Other
172,2015-05-15 13:08:00,2015-05-15 13:20:00,2.99,12.62,0.35,23.99,0.13,0,0,0,0,0,Other
173,2015-05-14 16:27:00,2015-05-14 16:33:00,3.04,6.13,0.18,45.4,0.08,0,0,0,0,0,Other
174,2015-05-14 16:13:00,2015-05-14 16:21:00,3.79,8.68,0.3,34.81,0.11,0,0,0,0,0,Other
175,2015-05-14 15:44:00,2015-05-14 15:49:00,1.02,4.63,0.1,28.46,0.03,0,0,0,0,0,Other
176,2015-05-14 14:56:00,2015-05-14 15:14:00,6.83,18.85,0.66,28.23,0.24,1,0,0,0,0,Other
177,2015-05-14 01:15:00,2015-05-14 01:30:00,8.67,15.35,0.57,42.1,0.21,0,1,0,0,0,Other
178,2015-05-13 23:25:00,2015-05-13 23:33:00,2.37,8.0,0.24,27.52,0.08,0,0,0,0,0,Other
179,2015-05-13 22:10:00,2015-05-13 22:28:00,11.42,17.89,0.78,40.69,0.29,1,2,0,0,0,Other
180,2015-05-13 21:21:00,2015-05-13 21:28:00,1.85,6.72,0.18,28.93,0.05,0,0,0,0,0,Other
181,2015-05-13 20:33:00,2015-05-13 21:06:00,27.67,33.26,1.77,43.04,0.63,0,0,5,0,0,Other
182,2015-05-13 09:27:00,2015-05-13 09:51:00,15.48,23.74,1.16,36.46,0.42,3,0,9,0,0,commute
183,2015-05-12 21:53:00,2015-05-12 22:16:00,15.6,22.73,1.1,38.58,0.4,3,0,0,0,0,commute
184,2015-05-12 10:51:00,2015-05-12 11:14:00,15.49,23.78,1.08,39.05,0.4,1,0,3,0,0,commute
185,2015-05-11 22:00:00,2015-05-11 22:23:00,15.62,23.57,1.05,40.46,0.4,0,0,0,0,0,commute
186,2015-05-11 11:04:00,2015-05-11 11:18:00,10.43,13.97,0.71,39.75,0.26,0,0,0,0,0,Other
187,2015-05-11 10:50:00,2015-05-11 11:01:00,5.14,10.45,0.41,34.11,0.16,0,1,0,0,0,Other
188,2015-05-10 21:54:00,2015-05-10 22:17:00,15.63,22.26,1.04,40.69,0.4,3,0,0,0,0,commute
189,2015-05-10 11:19:00,2015-05-10 11:20:00,0.25,0.79,0.01,51.98,0.0,0,0,0,0,0,Other
